Date,AFK,BWX,CANE,COFF.MI,CORN,COTN.MI,COW.TO,CPER,EMB,EMLC,EPHE,EPOL,EWC,EWJ,EWS,EWT,EWU,EWZ,FXA,FXB,FXC,FXE,FXF,FXY,GLD,HYG,IEF,IEV,IGOV,IJH,ILF,IWM,LQD,MCHI,MUB,NICK.MI,PALL,PPLT,REM,REZ,SCHH,SHY,SLV,SOYB,SPY,THD,TINM.MI,TIP,TLT,TUR,UNG,URA,USO,UUP,VNM,VNQ,WEAT,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2012-01-02,17.4649,24.7279,22.93,2.9625,41.98,2.14,18.7539,24.5,56.799,22.5165,20.1046,14.6161,19.7142,28.134,12.1856,12.8225,18.448,30.3864,88.043,141.0753,90.9964,122.8167,105.0451,127.93,151.99,41.6038,78.4212,22.5484,45.7336,14.2172,23.6314,60.9161,69.6064,30.3424,75.9728,16.555,64.56,137.82,12.0358,27.9456,9.1937,68.8111,26.94,22.06,98.0214,41.2443,33.3933,83.2579,82.7175,28.533,413.44,32.2293,304.88,18.7715,11.4129,33.3428,112.0,12.5693,21.1009,8.1695,26.0275,10.577,22.35,11.2522,27.4844,16.535
2012-01-03,17.7701,24.9759,23.81,2.9175,42.62,2.2125,19.1223,25.16,56.2763,22.7553,20.4799,15.1092,20.3071,28.6899,12.6019,12.9648,18.9959,31.6095,89.2926,142.119,91.6984,123.8647,105.9046,128.46,155.92,41.7387,77.9235,23.2568,45.935,14.3697,24.2975,61.9238,69.5513,30.9609,76.0499,16.515,65.45,141.53,12.1784,28.0341,9.2654,68.7704,28.83,22.29,99.5834,42.3833,34.7737,83.2294,81.4759,29.7467,414.08,33.5739,317.52,18.6127,11.5697,33.6245,112.3,12.9182,21.6869,8.3832,26.5982,10.7266,22.3294,11.0521,27.841,16.6748
2012-01-04,17.7091,24.7784,24.33,3.0025,42.51,2.245,19.2263,24.4,56.4316,22.5165,20.6847,14.7715,20.2701,28.659,12.6132,12.9101,18.9617,31.726,89.2926,141.8443,91.5865,122.8548,104.8152,128.33,156.71,41.6689,77.6784,23.0162,45.5596,14.3291,24.3919,61.5851,69.6064,30.9609,76.1834,16.37,64.21,140.54,12.1689,27.4527,9.1049,68.7786,28.39,22.16,99.7396,41.7384,34.0908,83.3079,80.5071,28.9005,430.08,34.2857,318.16,18.713,11.4442,33.0496,111.0,13.027,21.7327,8.3581,26.7216,10.7557,22.2812,10.9895,27.7063,16.8062
2012-01-05,17.7227,24.4757,22.84,2.92,41.51,2.2525,19.4341,24.35,56.3488,22.4797,20.8382,14.4203,20.1441,28.3193,12.5794,13.0305,18.6763,31.2971,88.4061,140.7916,90.9712,121.4163,103.6458,127.46,157.78,41.4875,77.6933,22.5885,45.1064,14.4395,24.081,61.9321,69.3066,31.0061,76.5343,16.65,63.16,139.83,12.0833,27.7307,9.2039,68.7867,28.51,21.85,100.0052,41.5462,34.5282,83.4649,80.3639,28.6231,410.88,33.9298,313.36,18.9135,11.2325,33.3601,108.65,13.0645,21.6289,8.4712,26.7293,10.789,22.2675,11.0114,27.7855,16.946
2012-01-06,17.6209,24.337,22.85,2.925,41.35,2.2675,19.4625,24.42,56.1003,22.5165,20.5482,14.1501,19.9366,28.0105,12.4782,12.9539,18.5621,30.9847,88.0705,140.0866,90.244,120.7114,103.346,127.89,157.2,41.3572,77.9978,22.3145,44.7493,14.4281,23.9256,61.7751,69.5758,30.2896,77.594,16.99,60.9,138.56,12.1879,27.5791,9.1493,68.7786,27.91,21.5,99.7475,41.2169,34.5204,83.7431,80.9983,27.9226,424.96,33.3366,313.76,18.9803,11.2952,33.2509,107.9,13.0458,21.5007,8.4209,26.6753,10.7931,22.123,10.952,27.833,16.9714
2012-01-09,17.5463,24.4169,23.0,2.955,42.19,2.225,19.4814,24.42,56.0176,22.59,20.9149,14.2311,19.9958,28.1031,12.3657,13.0305,18.585,31.6359,88.2513,140.4528,90.6356,121.1877,103.9457,128.17,156.5,41.413,78.0127,22.4281,44.2778,14.5076,24.2087,62.089,69.4718,30.7874,77.8537,17.025,61.08,141.16,12.2449,27.459,9.1356,68.7949,28.13,22.14,99.9896,41.6492,34.4203,83.8288,80.855,27.9434,417.92,33.653,312.64,18.9135,11.4521,33.1359,109.35,13.072,21.6045,8.4649,26.8758,10.7765,22.1574,10.9676,27.8806,16.946
2012-01-10,17.9194,24.4841,23.0,2.99,42.05,2.295,19.6892,24.42,56.002,22.7278,21.3159,14.4473,20.2552,28.4428,12.7032,13.3262,18.8019,32.2872,88.7418,140.5443,91.1483,121.1972,104.0056,128.13,158.64,41.5572,77.8567,22.7555,44.1587,14.7072,24.5973,62.9976,69.6676,31.6698,77.2221,17.405,62.77,144.62,12.302,27.7371,9.2551,68.803,29.05,22.07,100.8565,42.3353,35.2438,83.5719,80.7186,28.4914,405.12,34.2461,314.72,18.8968,11.7109,33.5038,108.8,13.3159,21.7968,8.6157,27.2614,10.8139,22.2331,10.9833,28.0866,17.0562
2012-01-11,17.9126,24.4631,23.3,3.11,42.06,2.2975,19.7459,25.22,55.9865,22.6727,21.4694,14.3527,20.1589,28.3193,12.7257,13.3481,18.5964,32.4725,88.802,139.1619,90.9526,120.5685,103.4159,128.06,159.67,41.5154,78.3098,22.6152,44.2457,14.7365,24.725,63.2454,69.6553,31.7075,77.4326,17.475,63.74,147.57,12.34,27.7371,9.2961,68.8274,29.14,21.73,100.9112,41.9373,35.5861,83.7859,81.7692,29.1502,384.64,34.8393,311.36,18.9803,11.7188,33.7395,111.25,13.4472,21.5038,8.7163,27.3462,10.8472,22.1368,10.9332,28.1103,17.0816
2012-01-12,18.0618,24.5346,23.04,3.1075,39.75,2.255,19.8404,25.72,56.0331,22.5624,21.64,14.8863,20.2627,28.1957,12.827,13.3919,18.6078,32.8961,89.1291,139.3358,91.0551,121.7117,104.5753,128.22,160.38,41.4596,78.1464,22.8424,44.4838,14.7689,24.8748,63.4353,69.8144,31.5793,77.4817,17.69,62.81,147.98,12.378,27.4274,9.2278,68.8193,29.31,21.29,101.1533,42.1295,36.6261,83.6575,81.6532,29.7675,377.6,35.7884,304.48,18.855,11.907,33.4923,105.8,13.6348,21.3023,8.7477,27.5853,10.9012,22.1299,10.9176,28.1975,17.1324
2012-01-13,17.8447,24.4505,22.95,3.065,39.19,2.275,20.0482,25.53,56.0124,22.6727,21.367,14.5824,20.107,28.2575,12.9282,13.2276,18.3795,32.4831,88.8365,139.1436,90.6636,120.3493,103.6358,127.96,159.26,41.413,78.4956,22.4214,44.3236,14.6975,24.5029,63.0967,70.0653,31.5265,77.6782,17.555,63.14,147.2,12.4161,27.6486,9.2415,68.8356,28.82,21.16,100.63,41.4502,36.6756,83.893,82.4651,29.2127,362.88,35.7488,305.28,19.0054,11.8913,33.567,104.65,13.5448,21.1955,8.6849,27.3694,10.8389,22.1093,10.9113,28.0707,17.1113
